building_id,lon,lat,n_addresses,adresse_ejemplo,parcel_ref,parcel_label,parcel_area_m2
Building2D.ACT_0dfb6580-eea0-4383-84ed-3177310d2883,6.2168318,49.8758324,1,"34, Route de Diekirch, 9355 Bettendorf, Luxembourg",013A00218005857,218/5857,1237.71
Building2D.ACT_0e175a86-282d-48a7-8a90-da825aad201a,6.1767733,49.8687672,1,"168, Rue Clairefontaine, 9221 Diekirch, Luxembourg",030A02708007245,2708/7245,334.97
Building2D.ACT_0e320742-1423-4085-9a8e-39607ca3054f,6.2229095,49.8799559,0,,013A00921003120,921/3120,1015.95
Building2D.ACT_0e536e47-d817-4ea6-8df1-b9e687875b46,6.2216847,49.8733113,0,,013A02729005116,2729/5116,29553.63
Building2D.ACT_0e53bf81-fbc9-4200-85fd-6739984c1224,6.2378089,49.8664789,0,,013B00149001909,149/1909,329.8
Building2D.ACT_0e77bf7a-2c71-4f29-b1ef-248891b9006a,6.256426,49.881436,1,"1B, Maison, 9456 Hoesdorf, Luxembourg",096A00130001781,130/1781,1440.5
Building2D.ACT_0e8a0832-cb08-4252-8592-1106d28cbe50,6.2160667,49.8768842,1,"15, Rue de l'Eglise, 9355 Bettendorf, Luxembourg",013A00126005773,126/5773,96.92
Building2D.ACT_0e97725e-2a54-4a6c-b501-f67071a014cc,6.2210133,49.8724889,1,"9, Rue de la Gare, 9353 Bettendorf, Luxembourg",013A02705005263,2705/5263,7995.01
Building2D.ACT_0e9e2168-2143-4e69-a729-8f1c6d093edc,6.2035353,49.8981876,0,,047C00016000064,16/64,5124.1
Building2D.ACT_0ec6ac6e-f7fd-4f26-afe1-8c718d93a361,6.217935,49.8745713,1,"5B, Rue du Château, 9353 Bettendorf, Luxembourg",013A00187005337,187/5337,89.55
Building2D.ACT_0ecb104b-01da-46c6-abe7-921fb1ddf01e,6.2365367,49.8687833,1,"8, Im Wohweg, 9382 Moestroff, Luxembourg",013B00299002021,299/2021,680.25
Building2D.ACT_0ed8d8a1-d631-4fe5-825b-d81996ebcbde,6.1773578,49.8638433,1,"1, Am Aal, 9370 Gilsdorf, Luxembourg",013C00065005012,65/5012,173.3
Building2D.ACT_0edcbb3f-c686-43e6-825a-0d4d82e6b07f,6.1765567,49.862525,1,"12B, Am Aal, 9370 Gilsdorf, Luxembourg",013C02193005102,2193/5102,221.86
Building2D.ACT_0ee3c69c-712f-45b7-b9c9-219dd76a4137,6.220821,49.872759,0,,013A02729005116,2729/5116,29553.63
Building2D.ACT_0eeeb6b1-066c-4aca-9f95-6c6933796763,6.185728,49.866176,0,,013C00927005158,927/5158,1133.79
Building2D.ACT_0f5324bf-af43-4416-990b-fafb21c629d0,6.1739438,49.8647546,0,,030B00036001745,36/1745,1696.7
Building2D.ACT_0f5d0a0b-1519-4cc8-8f55-3c87a8c1496e,6.2571024,49.8837253,1,"16, Maison, 9456 Hoesdorf, Luxembourg",096A00007001785,7/1785,714.3
Building2D.ACT_0f9fae2e-2e66-4c2b-bb44-4ebf9e5fcb26,6.2212731,49.8772431,1,"5, An der Grouf, 9357 Bettendorf, Luxembourg",013A00387004952,387/4952,951.75
Building2D.ACT_0fa9f0eb-27b3-4512-b7a3-8e6a6451979a,6.175462,49.862912,1,"15, Rue Um Knaeppchen, 9370 Gilsdorf, Luxembourg",013C02184004292,2184/4292,896.74
Building2D.ACT_0faf85ae-9b88-4ad4-9e63-5a14d426f995,6.261612,49.86692,0,,096C00810003150,810/3150,888.77
Building2D.ACT_0fb420f5-2372-4a6c-ba91-5b2ac7ec2f6b,6.1912019,49.8680306,1,"4A, Am Grond, 9371 Gilsdorf, Luxembourg",013C00805004658,805/4658,358.98
Building2D.ACT_0fb4ba76-47d6-4fc7-b880-4b0bc372b56a,6.2382771,49.8675843,1,"14A, Rue de la Gare, 9382 Moestroff, Luxembourg",013B00129002079,129/2079,142.74
Building2D.ACT_0fcfc51a-43d8-4c19-9a45-3ad5436ba410,6.2363782,49.8689355,1,"6, Im Wohweg, 9382 Moestroff, Luxembourg",013B00398002022,398/2022,551.03
Building2D.ACT_0fdc128e-2b37-44d0-a405-afb6bba7e0f7,6.2243095,49.8760042,1,"24, Rue du Château, 9353 Bettendorf, Luxembourg",013A00512005259,512/5259,651.25
Building2D.ACT_0ff4eda6-353c-4889-90d1-cfaa0661ce71,6.2166129,49.8770718,1,"24, Rue de l'Eglise, 9355 Bettendorf, Luxembourg",013A00141003670,141/3670,541.75
Building2D.ACT_0ffcff45-ca59-445c-8658-c1a353835bc4,6.2220029,49.8807557,0,,013A01757002726,1757/2726,3695.16
Building2D.ACT_0fffa31e-a7bf-41d4-8f7e-a5180a812e84,6.2577881,49.8841362,0,,096A00070000001,70/1,935.71
Building2D.ACT_101273b6-7a97-4b40-808d-169da213a6ab,6.2182986,49.8720429,0,,013A02704004993,2704/4993,645.71
Building2D.ACT_102760d2-f612-4e44-b62f-6b4a2bfe479b,6.20207,49.8987574,2,"6, Um Plateau, 9459 Longsdorf, Luxembourg",047C00017000046,17/46,6380.57
Building2D.ACT_10291b35-1441-466d-a064-e8d5554633d6,6.2546171,49.8641829,1,"8, Um Stued, 9390 Reisdorf, Luxembourg",096C00187002784,187/2784,409.89
Building2D.ACT_102d8fec-1f65-4e25-a1bf-a4fa3db9cd1a,6.2123024,49.8741676,0,,013A00274005155,274/5155,374.21
Building2D.ACT_10813491-1d5b-4a42-9bf7-a11422278438,6.2196343,49.8777829,1,"34, Cité Pierre Strauss, 9357 Bettendorf, Luxembourg",013A00411004745,411/4745,410.24
Building2D.ACT_1081d4d9-1755-43ae-8136-5de6e542d772,6.2166111,49.8773511,1,"22, Rue de l'Eglise, 9355 Bettendorf, Luxembourg",013A00140001893,140/1893,336.73
Building2D.ACT_1082be4b-74cb-4864-b50c-a60491e66138,6.2222929,49.8750586,1,"3, Rue du Moulin, 9353 Bettendorf, Luxembourg",013A00383005159,383/5159,729.84
Building2D.ACT_109b7f3d-7e28-4a01-b3ee-6b6872a46ac7,6.1812614,49.8652429,0,,013C00159004790,159/4790,4031.09
Building2D.ACT_10d3cece-3a8a-42c7-9e7d-22a64516c3f8,6.2379475,49.8669788,1,"28, Rue de la Gare, 9382 Moestroff, Luxembourg",013B00108002390,108/2390,223.57
Building2D.ACT_10eb9c3f-8094-4b36-a63f-40b189144b0e,6.2186782,49.8751936,1,"8A, Rue du Château, 9353 Bettendorf, Luxembourg",013A00196005756,196/5756,267.98
