building_id,lon,lat,n_addresses,adresse_ejemplo,parcel_ref,parcel_label,parcel_area_m2
Building2D.ACT_201b137f-0c41-4fdf-adf8-3573680758c5,6.1350112,49.6087381,1,"11, Rue Plaetis, 2338 Luxembourg, Luxembourg",075C00109000000,109,62.64
Building2D.ACT_203291ff-6ef5-4e6e-a9ab-9e8d09dc0ef1,6.1298656,49.612435,1,"16, Rue des Capucins, 1313 Luxembourg, Luxembourg",075F00216000656,216/656,88.87
Building2D.ACT_20d91a7e-d168-46d9-bb38-31b24dc6b765,6.1343733,49.61496,1,"10, Rue des Trois Glands, 1629 Luxembourg, Luxembourg",075B00261000079,261/79,136.06
Building2D.ACT_217555e9-e867-4cba-82ae-e6a6404e54ed,6.1213947,49.6143019,0,,075F00785001522,785/1522,457.32
Building2D.ACT_229974bb-8162-4a60-ba38-d7fc7250b265,6.1292869,49.6123069,1,"48, Grand-Rue, 1660 Luxembourg, Luxembourg",075F00126001793,126/1793,293.35
Building2D.ACT_2304697e-0f82-4989-8cb6-51533bb727b3,6.1346477,49.6145177,1,"43, Rue Vauban, 2663 Luxembourg, Luxembourg",075B00277000413,277/413,133.83
Building2D.ACT_238f35d9-0f75-4821-9902-5729083fca6b,6.1339761,49.6110157,1,"6, Rue de la Loge, 1945 Luxembourg, Luxembourg",075F00555000000,555,102.36
Building2D.ACT_242f4f68-b0dd-4840-ab5d-b7e33e4652bc,6.1250608,49.6079717,0,,061A00301003371,301/3371,445.37
Building2D.ACT_24519b79-850e-4089-972a-2db143b70a90,6.1272621,49.6105068,2,"23, Avenue Monterey, 2163 Luxembourg, Luxembourg",075F00387002275,387/2275,660.35
Building2D.ACT_247c1a9b-3403-4870-ad89-a9725b175b1a,6.13174,49.6152817,0,,075B00205000113,205/113,58.48
Building2D.ACT_24f37a62-81f8-4132-806a-88fe73f7203d,6.1322144,49.6113278,1,"6, Rue du Marché-aux-Herbes, 1728 Luxembourg, Luxembourg",075F00538000404,538/404,109.85
Building2D.ACT_2556b163-41a6-4d99-8cb1-2c84c580a7cc,6.128688,49.6143265,1,"4, Boulevard Royal, 2449 Luxembourg, Luxembourg",075F00799002625,799/2625,495.69
Building2D.ACT_259616fe-ec6c-4407-a83a-781460333881,6.1244747,49.6106229,1,"35, Boulevard Prince Henri, 1724 Luxembourg, Luxembourg",075F00730000729,730/729,503.3
Building2D.ACT_263795bf-4c33-4091-95a8-3304c9328a07,6.130046,49.6128967,1,"1B, Rue Beaumont, 1219 Luxembourg, Luxembourg",075F00210001999,210/1999,146.37
Building2D.ACT_27399f19-b5ea-46a1-8983-fb1a2a1e3cea,6.133225,49.611321,0,,075F00564001670,564/1670,141.68
Building2D.ACT_27c7ad06-740c-4ee7-9f49-ad30e274f6ad,6.1339027,49.6119967,2,"14, Rue Wiltheim, 2733 Luxembourg, Luxembourg",075F00340002525,340/2525,90.39
Building2D.ACT_283a5a41-e511-4fe1-8916-2ce8c8c4d9d3,6.125195,49.6133806,1,"3, Avenue Amélie, 1125 Luxembourg, Luxembourg",075F00766000799,766/799,819.54
Building2D.ACT_2860a45e-0445-43c4-85df-f7d6ceba73ce,6.1335675,49.6138783,0,,075B00213000488,213/488,97.37
Building2D.ACT_28ae566d-aa09-4452-af7a-c7b5ff495fb8,6.1277922,49.6123319,1,"72, Grand-Rue, 1660 Luxembourg, Luxembourg",075F00114000757,114/757,205.32
Building2D.ACT_291798df-effe-464f-8105-1aa17dca76f8,6.1303375,49.6124875,0,,075F00225002284,225/2284,485.79
Building2D.ACT_2942bcde-e6c5-4ee7-9dcf-529c2ce0a7b0,6.1306506,49.6109878,1,"10, Place Guillaume II, 1648 Luxembourg, Luxembourg",075F00397002101,397/2101,134.16
Building2D.ACT_2961cf8d-4ce8-4605-a05b-3a934771b596,6.128428,49.61441,0,,075F00799000815,799/815,175.5
Building2D.ACT_29975445-1668-40b1-8fdd-85ca12709616,6.1288175,49.6108263,1,"3, Avenue Monterey, 2163 Luxembourg, Luxembourg",075F00425000000,425,157.09
Building2D.ACT_29c7f2f4-0444-4663-b6b9-8fa2b3a1effe,6.1282987,49.6119133,1,"1, Rue Philippe II, 2340 Luxembourg, Luxembourg",075F00152002319,152/2319,261.8
Building2D.ACT_2ac6f898-7ae6-4a22-a2be-0e2d36d6bad4,6.1276609,49.61233,1,"74, Grand-Rue, 1660 Luxembourg, Luxembourg",075F00113001791,113/1791,348.89
Building2D.ACT_2c7b46c2-6282-4d45-8558-c9077c6dda01,6.1336156,49.6117995,2,"1, Marché-aux-Poissons, 2345 Luxembourg, Luxembourg",075F00334002463,334/2463,1617.93
Building2D.ACT_2cb61264-7e4e-4c0c-99d9-19c35ebb1724,6.1282487,49.6111939,2,"13, Rue Philippe II, 2340 Luxembourg, Luxembourg",075F00159000000,159,114.13
Building2D.ACT_2cba8370-bcb2-44b9-9cdc-da4ba2e509ec,6.1249467,49.6097961,1,"41, Boulevard Prince Henri, 1724 Luxembourg, Luxembourg",075F00722001810,722/1810,350.92
Building2D.ACT_2d64066a-8b88-45c1-a1a4-74921d6ae7ff,6.1223018,49.6085459,1,"1, Rue Pierre d'Aspelt, 1142 Luxembourg, Luxembourg",075F00711001839,711/1839,1584.39
Building2D.ACT_2df6bb51-ea4f-42c2-ba13-cb72d006ca97,6.1317693,49.6117039,2,"11, Grand-Rue, 1661 Luxembourg, Luxembourg",075F00306002000,306/2000,200.13
Building2D.ACT_2dfb8839-c5f6-40b0-85ef-c96eca0b5bc8,6.1248323,49.6148838,0,,075F00778002502,778/2502,76754.82
Building2D.ACT_2e113e74-abaa-4c89-8c33-91bf2037b3ac,6.1291218,49.6118455,1,"61, Grand-Rue, 1661 Luxembourg, Luxembourg",075F00139000820,139/820,125.66
Building2D.ACT_2e1f4ebb-d1c3-4895-bb86-1b0a0a7a5096,6.1323883,49.6117932,2,"1, Rue du Marché-aux-Herbes, 1728 Luxembourg, Luxembourg",075F00289001416,289/1416,182.59
Building2D.ACT_2e4b85aa-a6fa-4327-8837-1635165363ec,6.1339538,49.6109559,1,"8, Rue de la Loge, 1945 Luxembourg, Luxembourg",075F00553000057,553/57,122.3
Building2D.ACT_2ec74d3e-46e8-42b2-83cf-87c65be3c0d3,6.13356,49.6115075,1,"1, Rue Sigefroi, 2536 Luxembourg, Luxembourg",075F00333000000,333,231.22
Building2D.ACT_2f1a7a32-4751-45c3-b126-03dc338d5cf9,6.1321108,49.6117392,1,"1, Grand-Rue, 1661 Luxembourg, Luxembourg",075F00297000000,297,72.77
Building2D.ACT_2f2d0609-51d6-4f5f-901b-59e2980ac5ba,6.1289483,49.6108594,1,"17, Place d'Armes, 1136 Luxembourg, Luxembourg",075F00421000009,421/9,43.85
Building2D.ACT_2fe80e14-8455-47ee-b570-a45055b56bc6,6.1293789,49.610768,1,"4, Rue Chimay, 1333 Luxembourg, Luxembourg",075F00462001910,462/1910,275.99
Building2D.ACT_30416f93-a639-4d1b-ac18-bfb5293226a7,6.1319133,49.6112687,2,"38, Rue du Curé, 1368 Luxembourg, Luxembourg",075F00607001855,607/1855,498.45
Building2D.ACT_30632064-a1ae-41af-9d80-c2701d9ef987,6.1294464,49.6139436,1,"6, Avenue Jean-Pierre Pescatore, 2324 Luxembourg, Luxembourg",075F00003001210,3/1210,194.42
Building2D.ACT_30ba578e-3a87-4c33-a1d6-17356e3e1d72,6.1272015,49.6120393,2,"11, Rue Beck, 1222 Luxembourg, Luxembourg",075F00092001994,92/1994,152.91
Building2D.ACT_30cc5396-473b-4c52-9f66-34f501974567,6.1344294,49.6147053,1,"37, Rue Vauban, 2663 Luxembourg, Luxembourg",075B00273000688,273/688,521.61
