building_id,hauteur_m
ACT_2bb589d0-ebd9-45e2-bf88-e3aa49307798,3.036
ACT_2bca781a-987b-437d-bc92-f949216cc132,8.81
ACT_2bce6589-d1fa-4418-ae7a-183501763d4f,3.439
ACT_2be07a27-a01e-4084-a1ab-7b6f5430c91b,11.005
ACT_2bed8396-754f-4048-b69c-d796e4387d99,11.251
ACT_2c1f328b-77a6-4380-acf7-bbc976247beb,13.643
ACT_2c35af0c-0b18-4b85-9cee-167c3e94ca70,8.731
ACT_2cc56822-60da-491c-8ff8-d9c8f8fc1a7c,13.348
ACT_2d00e114-d099-4d76-a560-a961533522a2,11.696
ACT_2d09d439-5a73-4f94-aa7a-a630bc2377fd,9.161
ACT_2db007ee-9057-4c51-aa72-3933035f025f,10.299
ACT_2db4df24-beec-4b87-a464-34054d9d075a,11.177
ACT_2e001839-0916-4327-be37-9c2cb958343b,3.799
ACT_2ea54386-f59d-42b0-bc26-212c0bf0a47c,4.152
ACT_2ea612b9-ea5a-4fda-82e0-13d3342d84b3,3.726
ACT_2efcf83f-26da-45ad-b20f-dcf1e5641ca1,10.913
ACT_2f04d304-679e-42b4-a7de-cf17fbd50556,11.012
ACT_2f067a0e-1dc1-4b3b-b013-341721e5d7f4,12.152
ACT_2f0712d7-9b28-4e76-8737-915dc9c80449,3.433
ACT_2f0e00fd-e4f0-4ea4-8b80-cd5832acaaa5,12.052
ACT_2f215010-b850-49e5-b12e-9ffa7434beb2,5.79
ACT_2f36d7f3-362a-4c4b-acf4-093320a57b4c,11.907
ACT_2f3fa1d4-626c-4a88-8639-44390566e11f,8.892
ACT_2f6cd39a-c19b-417d-b8ad-95bd39713518,8.598
ACT_2fb402eb-48d8-47a9-8e82-b9e25df051e5,9.869
ACT_2fd99d43-c63c-462e-8cd7-b42b22f6a7f8,12.075
ACT_2fe1c8a7-8610-4a2c-ab60-ab28e73f979d,3.093
ACT_2ffe6129-bc82-445d-a241-62c99dd08214,13.311
ACT_302347fc-102e-4c26-bea3-53a6d614a58f,5.52
ACT_30249c80-9f28-4da7-9bb5-cbed0f5c89ca,3.322
ACT_302a0a22-e0d7-4229-ac5a-489f9176a9cd,4.232
ACT_302c8125-20bc-4c6b-86d4-964f83307bc2,10.603
ACT_306cb38b-f57b-4992-b6a4-d782a7001991,9.986
ACT_308fae76-8c8d-4baa-9da2-4bb42bde4c63,9.326
ACT_30dc242a-71db-4581-9061-4a4bf809573e,3.527
ACT_30e29c18-d0f0-4314-8259-15545ad51543,9.684
ACT_312a43c7-1ebf-4dd5-b90f-52ef81deb7c2,8.47
ACT_313c666e-5000-46f5-98b3-ea64c787b89d,12.211
ACT_3184c215-777f-4355-803c-91bc85c2827a,14.736
ACT_31e97c81-37a4-4f24-9209-519bf9c0e6d3,8.014
ACT_31fcf330-8430-4ce8-95e6-c5864e49a252,9.121
ACT_32639fec-8432-45c2-8a68-1c43e7142a87,3.198
ACT_3274e961-4ac2-4192-a261-67a71b49da7d,7.332
ACT_32753fbb-10fc-446d-9917-9498f18c9d61,10.694
ACT_32d0c52d-690e-40c1-9873-977d3fb91ba8,19.937
ACT_32d3f213-2e01-429f-a0aa-a7f6c2f8309c,12.046
ACT_332faf4d-5c86-4824-9fde-bdf4166aacaa,5.635
ACT_3337ccf4-abaa-416e-8784-f4cddd6e3bab,10.045
ACT_333f8438-470d-4fb1-8d64-4e62087f3a20,12.854
ACT_33466676-b1ed-4708-89af-178ef35a40f7,8.43
ACT_335cb98f-60dc-48c3-87ea-12bbfbef02cc,11.893
ACT_336d3eec-3552-4339-b0ee-c6acce66e2e0,6.665
ACT_3397756a-fa8e-44ae-a166-bf9e458390a3,3.984
ACT_33aa7a13-b1d5-454c-80de-b62aaf4e26cb,9.981
ACT_33de5325-ddac-46cd-bc84-1fe44e2b7c47,11.064
ACT_33e18480-4ba9-4ef8-88e5-353a2769f6d2,9.012
ACT_33f55552-00c9-4464-bf7c-26dc41215dcd,4.148
ACT_3419044c-a6d2-4fc6-b43e-0670fcd289bd,11.39
ACT_3443a93f-b7f6-42d0-b4b2-caa365a1dd9b,2.542
ACT_345aa641-5e0e-49f5-9edb-57cced921293,12.016
ACT_34980feb-ffb0-4bce-8e32-168b37b85f19,8.336
ACT_34ad393d-0378-4f6d-82a2-a4012311cbc4,3.802
ACT_34f2d6da-becc-4cf7-be8a-8e0054d6985c,10.119
ACT_35ca0f63-1027-4f23-b12b-678426bce9d4,11.807
ACT_35d4b70c-76d1-4305-a1a5-5d7dea52f20c,8.945
ACT_35d988a8-a677-4c4c-91ef-aa278205ee2a,3.796
ACT_35fc5f21-759c-4035-bfe4-b8c25ab3015f,2.712
ACT_3678c2a6-d140-4198-a088-d7616d469989,3.075
ACT_36829f8d-cf72-488c-a7d1-96bf71666ce6,10.711
ACT_369571d9-e4ed-4e80-97fe-14104c1d2737,9.859
ACT_36ae64d2-342b-4b22-a0ea-bcfc69564741,10.352
ACT_378d153c-349e-4b3b-ac5c-db9915225c72,10.262
ACT_379037e7-8be1-4928-89e2-1451827681e6,8.85
ACT_3794eb81-0004-4822-bfdf-9286a096ad90,8.02
ACT_37a171d7-53fc-46d2-b7be-d7fb530f2e19,14.012
ACT_37d07a60-088a-4126-b20b-da20a9b1e540,8.005
ACT_37f86462-a54c-4957-afc3-f953975ea5ab,4.086
ACT_37fc75c0-5f5e-4bb4-aea0-df09766b2ee0,10.244
ACT_381ba184-f20e-4c6b-8ff5-cef75731525d,3.977
ACT_38270d67-e9aa-4cf4-8f26-a13300eb9ac8,7.125
ACT_382d77c9-f658-493e-bb3b-d06a9b48ae28,3.974
ACT_38658189-11dd-4afa-b4a6-fe494b52b99b,8.173
ACT_389147df-dea8-42f9-8e4c-e5ac4a16809b,6.97
ACT_38c31dc6-2982-45cd-98b6-dcad401c98f0,8.556
ACT_38d5efae-8760-4c25-b972-c5125ce56208,4.99
ACT_395fec92-4629-45de-b36e-5c18e4ac459d,9.596
ACT_39796c34-145b-4c67-ace4-bc756d73f1c3,5.832
ACT_3995b7da-aa9c-4372-bf3b-7bc96143f8dc,6.639
ACT_39c0220f-84cb-483f-88ba-c64f0ccee318,4.485
ACT_3a43df93-f089-48b7-9737-83f5669be626,9.918
ACT_3a9132c9-0213-44e6-9341-17449915e756,7.963
ACT_3af796b9-de50-416a-8e26-159789ce1fb8,6.747
ACT_3b1d42e5-895d-473e-bfea-1f5ccf30661b,5.339
ACT_3b613f1e-928e-447f-aa6d-f0b9a9e936d4,6.089
ACT_3b76706e-881e-4377-a62d-6709863cd53f,12.152
ACT_3b7d4a7c-492f-4a06-ba34-af4b14b97e93,10.402
ACT_3b9565e3-ed0d-42b9-89b5-c4d6d40aeb4f,12.883
ACT_3c0aa720-7a2e-4514-bb13-bc296c75c034,10.225
